variant,product,colour,material,sku,pac_size,image,category,price
12oz-20oz Compatible,rPET Dome Lid,Clear,rPET,RPTDL,1000,d3bbf0_9fc67bbf290c463fbdb58e01de41bc77~mv2.webp,cold-cups-and-lids,28.49
12oz-20oz Compatible,rPET Flat Lid,Clear,rPET,RPTFL,1000,d3bbf0_681faf1b702e4f7798b9f170dd5c1204~mv2.png,cold-cups-and-lids,23.76
12oz/355ml rPET Recyclable Cup,rPET Recyclable Cup - Clear,Clear,Plastic,12RPTRC,1000,d3bbf0_98c336b26d4f46b49fba491b286c1509~mv2.webp,cold-cups-and-lids,47.52
16oz/455ml,rPET Recyclable Cup - Clear,Clear,Plastic,16RPTRC,1000,d3bbf0_7c794971e7e64e049060ebf56951e79b~mv2.webp,cold-cups-and-lids,46.52
20oz/568ml,rPET Recyclable Cup - Clear,Clear,Plastic,20RPTRC,1000,d3bbf0_0324d75db8234b92aee78ba551215b9b~mv2.png,cold-cups-and-lids,65
8oz/237ml,rPET Recyclable Cup - Clear,Clear,Plastic,8RPTRC,1000,d3bbf0_e630fdc2c7f54b969b0418162c0e4e18~mv2.webp,cold-cups-and-lids,33.8
Half Pint,1/2 Pint To Line Home Compostable Paper Cup Ukca Marked,White,Paper,UKMRHFP,1000,,cold-cups-and-lids,131.76
Pint,Pint to Line Home Compostable Paper Cup UKCA Marked - White,White,Paper,UKMRFP,1000,d3bbf0_1cae37573930477d8fc7dd7e0d97899a~mv2.png,cold-cups-and-lids,142.8
140mm,Wooden Coffee Stirrers,Natural,Wood,WCS14,1000,d3bbf0_71fc8d1d20b2489e8cf4f1520a04864f~mv2.png,hot-cups-extras,4.49
4oz,Recyclable Sip Lid for Hot Cup - Black,Black,Plastic,PLPC62B,1000,d3bbf0_60e745542cff479983f4ec923d5d50da~mv2.webp,hot-cups-extras,32.28
4oz ,Recyclable Sip Lid for Hot Cup - White,White,Plastic,PLPC62B,1000,d3bbf0_ba245b0729fa48558932836a72c6fa96~mv2.webp,hot-cups-extras,32.21
80mm,Recyclable Sip Lid for Hot Cup - Black,Black,Plastic,PLPC80B,1000,d3bbf0_9d25b2df88834e489cb9e3a66bd18f8b~mv2.webp,hot-cups-extras,56.96
80mm,Recyclable Sip Lid for Hot Cup - White,White,Plastic,PLPC80W,1000,d3bbf0_e987b6ba1e4747fc98898b97e49dfb1e~mv2.png,hot-cups-extras,28.96
Standard,Recyclable Pulp Fibre 2-Cup Carrier Tray,Natural,Pulp Fibre,RCC2C,360,d3bbf0_d2cf0670bc3243a2885012d381e9709c~mv2.jpg,hot-cups-extras,24.89
Standard,Recyclable Sip Lid for Hot Cup - Black,Black,Plastic,PLPC90B,1000,d3bbf0_e46693609ea043b194872ce01b9e840b~mv2.webp,hot-cups-extras,32.23
Standard,Recyclable Sip Lid for Hot Cup - White,White,Plastic,PLPC90W,1000,d3bbf0_00b74b846cfa41609fb84eea988ad9ec~mv2.png,hot-cups-extras,38.85
12oz / 340ml,Double Wall Ripple Paper Hot Cup - Kraft,Kraft,Kraft,12KRDW,500,d3bbf0_17d91c720003422f9505f4fba6570b70~mv2.webp,hot-cups,45.32
12oz/340ml,Double Wall Ripple Paper Hot Cup - Black,Black,Paper,12BRDW,500,d3bbf0_427a23d4bed448f393bd493e758271d7~mv2.webp,hot-cups,45.32
12oz/340ml,Single Wall Paper Hot Cup - White,White,Paper,12WSW,1000,d3bbf0_04a8855c4b84486fb8da9805cc1162aa~mv2.jpeg,hot-cups,46.85
16oz / 455ml,Double Wall Ripple Paper Hot Cup - Kraft,Kraft,Kraft,16KRDW,500,d3bbf0_75fba74bf33e46faa01ccc4c6ba46831~mv2.webp,hot-cups,45.63
16oz/455ml,Double Wall Ripple Paper Hot Cup - Black,Black,Paper,16BRDW,500,d3bbf0_18c19b2e9f294133973a4e2f97f990f6~mv2.png,hot-cups,48.63
16oz/455ml,Single Wall Paper Hot Cup - White,White,Paper,16WSW,1000,d3bbf0_a6676da796fd4bfca78405afa21182a8~mv2.jpeg,hot-cups,51.78
4oz/114ml,Double Wall Ripple Paper Hot Cup - Black,Black,Paper,4BRDW,1000,d3bbf0_ac4323701a4a4d0792e6f7440387d9a3~mv2.webp,hot-cups,46.25
4oz/114ml,Single Wall Paper Hot Cup - Black,Black,Paper,4BSW,1000,d3bbf0_e72cbf2d965b4133bb9ca46c69b39984~mv2.png,hot-cups,34.28
4oz/114ml,Single Wall Paper Hot Cup - White,White,Paper,4WSW,1000,d3bbf0_111cda8c6c154727ab5f861fe9916a43~mv2.jpeg,hot-cups,33.2
8oz / 227ml,Double Wall Ripple Paper Hot Cup - Kraft,Kraft,Kraft,8KRDW,500,d3bbf0_b8f553ad88324147a87addfc5c3e6091~mv2.webp,hot-cups,36.12
8oz/227ml,Double Wall Ripple Paper Hot Cup - Black,Black,Paper,8BRDW,500,d3bbf0_cd64060ec33643c49ce45d762f419f02~mv2.webp,hot-cups,37.12
8oz/227ml,Single Wall Paper Hot Cup - White,White,Paper,8WSW,1000,d3bbf0_6c8c0c4f49134a6ba80742330300bd67~mv2.jpeg,hot-cups,36.05
4oz/118ml ,Paper Ice Cream Cups,White,Paper,5PICC,1000,,ice-cream-cups,69.23
8oz/240ml,Paper Ice Cream Cups,White,Paper,8PICC,500,,ice-cream-cups,58.05
Standard,3.5in/90mm Compostable Paper Ice Cream Spoon,White,Paper,PICSWHT,2000,,ice-cream-cups,47.82
